"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Industry, value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6514181152791","16.6125290023202","16.4072921298355","18.7027457222443","19.0334507427421","16.9734448117916","17.1485073011216","17.2234280142179","16.5203114505336","18.3377783105091","19.5143625053836","20.6294436927642","22.1157225389682","22.6898848070703","21.2214384623844","16.8120733384648","16.3846673378744","16.3317692187066","","","","","","",
"Afghanistan","AFG","Industry, value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.714097150371","22.9212075240844","26.712540265631","27.3602176143866","28.8154655619112","27.3447032582649","27.4589327956882","22.5758835629109","21.8623407294668","23.4717515844124","21.8473249530878","21.1532682183737","22.3292163240579","22.9458691831697","22.6816397954009","",
"Angola","AGO","Industry, value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","50","33.3333333333333","33.3333333333333","37.5","53.8461538461538","51.3011152416357","66.9783940664302","66.2567706045967","67.8206759362436","60.757741389497","55.6809402456153","72.7173723137849","72.1229549419033","64.8838115415289","","","","","","","","","","","","","","","","",
"Albania","ALB","Industry, value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","44.9999990024456","43.0000618615073","43.8001704545455","43.3000498080612","43.9999991278013","43.3001261531193","44.2001147544559","45.8001516629062","46.2999753057385","44.8000634055996","48.2007978623826","42.6969058040156","23.3205588119823","22.9017068224788","21.730684050965","22.4979416660821","15.3438454739829","15.3776513690826","13.1098452924637","13.9747463328007","16.7053720328294","18.3148755279763","19.5960719294253","23.1832979859859","24.5815827065442","25.2165109873601","26.4052331427178","25.3343548856718","29.0216756978406","28.2155946938635","28.6905465781612","28.1535016062895","26.4525977975248","26.4363268397414","24.6430813516456","24.1800009287829","23.7331326940493","",
"Andorra","AND","Industry, value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6556359433195","16.0203537551098","16.4569018708104","16.8414498600362","17.1803442162801","17.3053622013688","17.4837198389101","16.907931752721","16.7973830293418","15.5797339734631","14.6227750375295","13.634143959371","12.2312463681942","11.3775546855357","11.0156246560506","10.8388032828437","","",
"Arab World","ARB","Industry, value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.6264329180519","56.9870295111072","56.1715726458208","55.903436940867","55.2838924469845","54.0134227465052","55.8854810447483","","52.5979674413548","53.2255537357203","52.0202996567633","50.4235576335595","48.6619480485495","40.8536306485371","38.8032048150243","",
"United Arab Emirates","ARE","Industry, value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4388343098417","","","","","","","",
"Argentina","ARG","Industry, value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.6049884942959","47.3834143823114","47.0360652886282","47.3865568871889","42.278789634459","45.9550048910901","45.581648950747","43.3523317316846","43.5928026239928","50.141323678472","50.8936968312364","47.8061321945614","46.0976480124721","44.0281237958525","41.2196656664295","40.3382267073251","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914775","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","29.2291435654676","29.0245200031605","28.4416453891198","28.8218415409031","29.5285518594809","29.0014145658518","28.2939183558006","28.0630654161225","27.0352895456652","32.4002856130079","34.9022359973749","33.8957225358792","33.6577370441647","34.40213541825","32.4917771030901","31.3339572798545","30.1491179468081","30.1107919653986","30.0067814129138","29.1276640980707","28.5859533131329","28.9255438393508","28.0647929052043","26.6775593991705","",
"Armenia","ARM","Industry, value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9559109574238","49.2436305732484","39.400646430579","26.9493762885833","36.9783932302352","31.9866600300566","32.5858267666746","33.1998286593658","30.7551128681699","32.196775528452","38.9825393532569","36.406916279466","38.9756128162814","41.9872893818727","41.1206473915956","45.2981777410408","44.6575534072287","43.9088082785996","43.5475314732759","35.8056579817052","37.030026467586","33.8388674568248","31.1754590628046","30.0495052109052","28.4945485027011","28.7644364571609","27.4794671715822","",
"American Samoa","ASM","Industry, value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
