"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.7996340347667","82.830626450116","83.0591373943975","80.8197373656984","80.5289986654707","82.6081569948957","82.4071889954859","82.338397659715","83.0449762431901","81.227113361901","80.0598596732251","78.9492380748395","77.4529411021074","76.8605934354569","78.3505733067309","82.6816742167094","83.1169483312285","83.1558123544951","","","","","","",
"Afghanistan","AFG","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8139628210295","39.3133489680897","43.0157852611021","40.888791849071","41.9347976592474","42.0324430728765","47.1463266712643","47.2185139688763","51.046119264397","52.0208079962345","53.549427975373","54.9553596423244","54.2076581408891","55.6534087750076","55.4080651882468","",
"Angola","AGO","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","50","33.3333333333333","33.3333333333333","37.5","38.4615384615385","37.1747211895911","26.3785875524025","26.4309764309764","25.1524548978866","30.2402406688035","31.2853014735971","20.9923708578417","22.2123554945612","26.9598114360045","","","","","","","","","","","","","","","","",
"Albania","ALB","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","21.3997948345977","24.599639299444","24.5001190764023","22.599852713463","22.9000598249542","22.0998617588771","21.7998848660156","20.9998236132765","22.2001428739417","22.8997388945974","15.8984122268199","18.0077990369629","25.0375709152846","22.45731668472","24.6483353387735","21.6899136231673","47.1765497676735","51.9221887186404","56.4149365475568","58.9075215725598","56.8041656540291","57.2320699097573","56.1679952027939","52.4840034124848","52.4858962151279","53.5491611042257","53.3724224132993","54.7908475133921","51.5577895646439","52.3746244856919","50.651264579594","50.8883742440435","51.8867218757157","51.1351663762265","52.4538435496912","52.9621873094532","53.3719813280999","",
"Andorra","AND","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.8028169014084","83.4740937246977","83.0950141673606","82.6727935122674","82.3367557984931","82.2513390879996","82.1008619926994","82.6553691262664","82.7228390166535","83.9492116209862","84.8342268925584","85.7780855729874","87.0894651729528","87.9817535289681","88.4327356135616","88.6402768916119","","",
"Arab World","ARB","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.9178691544769","43.6648740149147","43.2295513276889","40.5497395033334","40.372062989108","40.9079536885043","37.9672120586848","","43.8015351259841","40.5314916332102","41.6429127200138","42.9645230614203","44.7864371872608","52.1305462796291","54.0230309765549","",
"United Arab Emirates","ARE","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.7832237110493","","","","","","","",
"Argentina","ARG","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","38.6813582857261","40.1164246067802","42.6362011624409","43.2426585257493","43.4275469830623","48.0836525009197","43.179046460429","43.4334758186795","44.6951229894005","46.176359627142","43.2747682872493","40.9540839988848","44.1066558214226","46.3979525030575","48.1755980553814","52.426832507347","53.1862535984306","49.3009953094612","49.7853685268061","51.9458352298589","53.0895381715363","54.8191624683246","54.0769662656489","52.5355207001495","48.0360922412516","55.8544476443929","60.5611985052019","63.3252164422299","65.2788255981145","65.4616134214754","65.7713508003047","65.0969038170128","64.7980813016877","65.2956515265145","66.8907521404481","66.8839130950968","68.0719043799294","56.7776272071831","54.0554338497593","56.2679553969582","57.0081760241496","57.4276008339057","58.6758997999979","59.9370614415344","63.5625650192582","61.3870063443401","61.663706308971","63.9785494237602","64.2062945259781","63.0765386011447","65.8912292046888","65.7620528548427","",
"Armenia","ARM","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6678193213745","25.7829087048832","29.5566329398538","21.685031914841","18.1506094535243","25.7580270019949","30.5882105129557","34.8314939039136","35.2491591622698","38.3392050059251","35.4695904905082","35.2649290141341","35.0624883593104","34.3306125698946","34.2171526050864","33.8093048791701","34.8913486840955","35.8091315021555","38.0543476360467","45.2804497217273","43.8169219581976","43.3457169786576","48.756470926018","49.2101261922665","51.1277840643913","51.9653027893386","54.8068222219636","",
"American Samoa","ASM","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
