"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35973.780509792","","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1063.63557365313","1099.19450675044","1062.24936045108","1136.12321410151","1161.12488912197","1284.77521302624","1298.14315888036","1531.17399271735","1614.25500126115","1660.73985617959","1839.27357927778","1814.1558253278","1780.38236589403","1747.97845735203","1739.58317656966","",
"Angola","AGO","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4394.33014126642","4209.48208913989","3793.64554016524","2763.82462146268","2770.12724428741","2966.55462629496","3205.95093838327","3365.9838304013","3498.72563240139","3511.19857342183","3508.90512526976","3540.23202549842","3184.02594574066","3234.99657925578","3461.01808359261","3949.27280047762","4601.1154879667","5443.12621515764","5978.3348726785","5908.0514270678","5895.11408790181","5911.25433387322","5998.63860099119","6185.01382919907","6260.13268066975","6231.06799206401","5984.64042160033","",
"Albania","ALB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4722.80854332068","3345.48306570018","3123.49291177855","3444.30018843918","3753.14636326809","4278.66282605761","4697.12377146927","4214.33171942514","4622.9974043245","5280.49474622698","5668.53922299903","6176.33193879709","6457.0095216252","6855.40587720372","7277.16926395228","7732.95842991592","8204.53678495625","8754.51460269542","9153.73079150035","9524.589562988","9927.11957619658","10207.7006744902","10369.7583406166","10492.7404698405","10701.0536665429","10971.22370356","11359.099157281","",
"Andorra","AND","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10479.6996058574","10235.1186128345","10551.9228450503","10595.0681474907","10639.1455987663","10600.5921832103","10835.7494720596","11048.0700615567","11419.745721348","11441.8057028372","11782.1319350247","11746.6253816207","11568.8124443334","11823.4720153862","12628.773350594","13037.66143665","13523.5880919299","13802.9726721482","14263.725079057","14048.8257817437","14379.2563246814","14461.6119998069","14851.9220956519","15040.3167979338","15144.0580769702","15323.2510850138","15524.3492252924","",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111066.753956664","105775.480767259","103204.559264048","98788.6868767283","100101.448148062","101556.924552045","102338.740029525","105431.131908941","100592.575960953","98315.2953397922","103224.426650496","99283.9693216618","96445.7043338815","98351.8530997246","98639.8535937278","92325.5199364203","88592.2974179127","79283.0526978478","71724.2776097553","61118.9037944407","57579.8351654688","58404.0155885493","59813.0165240837","62532.7349064233","64126.8920822393","65975.3755468552","67133.0655186919","",
"Argentina","ARG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10815.7151226019","12015.6271048557","13266.0528630404","13861.946177794","14481.1082032399","13893.5226589826","14485.5076845653","15479.3791285386","15894.5580528952","15186.130197286","14899.8700458711","14085.5751760246","12412.6059887095","13361.4000434323","14410.1505153775","15518.6785097698","16592.264892395","17900.7063421587","18436.8624668727","17168.3789365496","18712.0630773436","19629.3518451916","19224.8743997107","19482.190295091","18797.5479465897","19101.2973920688","18489.4348925861","",
"Armenia","ARM","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3742.43737068264","3335.60189918844","1976.52923651447","1845.31970707182","1992.01948539874","2173.36283006068","2336.51656159442","2441.18183351899","2639.94931837894","2744.43020482128","2924.7473797168","3224.14127527107","3669.44339048777","4206.97511756609","4673.98472583689","5356.61442371328","6110.22619140708","7010.62705596386","7558.36164780203","6532.96423059787","6702.84800627941","7022.10394338388","7511.13248214738","7727.92909156213","7971.11792762162","8195.93364956571","8190.23928885988","",
"American Samoa","ASM","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16381.018356894","16585.6715162132","16503.1720979053","16999.1768058194","17683.7510162052","16476.3332796269","17097.9758766223","17543.7315286641","17887.8075742041","18102.2030900696","18908.4941850646","17660.5219212823","17591.3401918852","18437.5082472791","19282.2297905624","20289.7106373404","22606.8408513208","24408.1814889805","24111.3770844998","20942.3011801149","19212.7201307541","18605.3167543472","19047.2002426242","18823.754452753","19573.8341184873","20154.9474879241","21013.0176273358","",
